Judet;CIF Entitate Publica;Denumire Entitate Publica;Denumire UAT pe raza careia isi desfasoara activitatea;Adresa de corespondenta;CIF Ordonator  principal  de credite (1);Denumire ordonator  principal de credite (1);CIF Ordonator  principal  de credite (2);Denumire ordonator  principal de credite (2)
Alba;1767070;STATIUNEA DE CERCETARE-DEZVOLTARE PENTRU VITICULTURA SI VINIFICATIE BLAJ;Municipiul Blaj;Alba, Municipiul Blaj, STRADA Gheorghe Baritiu, Numar 2, Bloc/Scara , Sector , Cod postal 515400;4221187;Ministerul Agriculturii si Dezvoltarii Rurale;;
Alba;4331007;LICEUL CORNELIU MEDREA ZLATNA;Orasul Zlatna;Alba, Orasul Zlatna, STRADA TUDOR VLADIMIRESCU, Numar 14, Bloc/Scara , Sector , Cod postal 516100;4331031;ORAS ZLATNA;13729380;MINISTERUL EDUCATIEI NATIONALE
Alba;4331031;ORAS ZLATNA;Orasul Zlatna;Alba, Orasul Zlatna, STRADA PIATA UNIRII, Numar 1A, Bloc/Scara , Sector , Cod postal 5161100;;;;
Alba;4331058;INSPECTORATUL JUD.POLITIE ALBA;Municipiul Alba Iulia;Alba, Municipiul Alba Iulia, STRADA I.C.BRATIANU, Numar 1 B, Bloc/Scara , Sector , Cod postal 510118;4267095;MINISTERUL AFACERILOR INTERNE;;
Alba;4331066;SPITALUL DE PNEUMOFTIZIOLOGIE;Municipiul Aiud;Alba, Municipiul Aiud, STRADA ECATERINA VARGA, Numar 6, Bloc/Scara , Sector , Cod postal 515200;4562583;JUDETUL ALBA;;
Alba;4331074;SPITALUL ORASENESC CIMPENI;Orasul Cimpeni;Alba, Orasul Cimpeni, STRADA HOREA, Numar 63, Bloc/Scara , Sector , Cod postal 515500;4331112;ORASUL CIMPENI;;
Alba;4331082;LICEUL TEHNOLOGIC  SILVIC CIMPENI;Orasul Cimpeni;Alba, Orasul Cimpeni, STRADA IZVOARELOR, Numar 2, Bloc/Scara , Sector , Cod postal 515500;4331112;ORAS CIMPENI;13729380;MINISTERUL EDUCATIEI NATIONALE
Alba;4331090;COLEGIUL NATIONAL  AVRAM IANCU  CIMPENI;Orasul Cimpeni;Alba, Orasul Cimpeni, STRADA OITUZ, Numar 3, Bloc/Scara , Sector , Cod postal 515500;4331112;ORAS CIMPENI;13729380;MINISTERUL EDUCATIEI NATIONALE
Alba;4331104;SPITALUL  DE  BOLI  CRONICE  CIMPENI;Orasul Cimpeni;Alba, Orasul Cimpeni, STRADA CRISAN, Numar 11, Bloc/Scara , Sector , Cod postal 515500;4331112;Orasul   Campeni;;
Alba;4331112;ORAS CIMPENI;Orasul Cimpeni;Alba, Orasul Cimpeni, STRADA Avram Iancu, Numar 5, Bloc/Scara , Sector , Cod postal 515500;;;;
Alba;4331201;MUNICIPIUL SEBES;Municipiul Sebes;Alba, Municipiul Sebes, PIATA PRIMARIEI, Numar 1, Bloc/Scara , Sector 1, Cod postal 515800;;;;
Alba;4331210;SPITALUL MUNICIPAL SEBES;Municipiul Sebes;Alba, Municipiul Sebes, STRADA SURIANU, Numar 41, Bloc/Scara , Sector , Cod postal 5158000;4331201;MUNICIPIUL SEBES;;
Alba;4331228;LICEUL CU PROGRAM SPORTIV  FLORIN FLESERIU SEBES;Municipiul Sebes;Alba, Municipiul Sebes, BULEVARD LUCIAN BLAGA, Numar 76, Bloc/Scara , Sector , Cod postal 515800;4331201;MUNICIPIUL SEBES;13729380;MINISTERUL EDUCATIEI NATIONALE
Alba;4331236;UM 02213;Municipiul Sebes;Alba, Municipiul Sebes, STRADA CALARASI, Numar 74, Bloc/Scara , Sector , Cod postal 515800;11424532;MNISTERUL APARARII NATIONALE;;
Alba;4331244;CAMINUL PENTRU PERSOANE VARSTNICE SEBES;Municipiul Sebes;Alba, Municipiul Sebes, STRADA Penes Curcanu, Numar 17, Bloc/Scara , Sector , Cod postal 515800;4331201;Municipiul Sebes;;
